model,stage,r2,mae,mape,rmse,max_error,cv_best_rmse,best_params,generated_at
GradientBoosting,baseline,0.8976813418972007,0.34160035829449475,0.03249794452609516,0.4439813109508129,1.630296426506657,,,2026-02-27 10:56:34
GradientBoosting_Tuned,tuned,0.8976606050361231,0.3414346347996634,0.032486253577676136,0.44402629938450217,1.6251042105966214,0.44662031530793644,"{'model__subsample': 0.8, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.05}",2026-02-27 10:56:34
LinearRegression,baseline,0.8971559381253882,0.34267123956983897,0.03261440395586386,0.44511976784561147,1.6408321091518694,,,2026-02-27 10:56:34
Ridge_Tuned,tuned,0.8971559237105503,0.34267126794825076,0.03261439860605204,0.44511979904006715,1.6408810418038264,0.4481218886783223,{'model__alpha': 0.01},2026-02-27 10:56:34
Ridge,baseline,0.8971472971061198,0.3426895851537087,0.03261552661733146,0.4451384670667046,1.6453936579683734,,,2026-02-27 10:56:34
Lasso_Tuned,tuned,0.8970095115926996,0.34356642151361844,0.03268685833530867,0.4454365297476823,1.6498008468984349,0.44822788560993837,{'model__alpha': 0.0005},2026-02-27 10:56:34
RandomForest_Tuned,tuned,0.8968767393601131,0.34250418657940385,0.03258101081866403,0.44572355894245647,1.702859094984813,0.44924281180151954,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_depth': 10}",2026-02-27 10:56:34
HuberRegressor,baseline,0.8920028786400009,0.3355980563300318,0.03227112448159051,0.45613496162658507,1.7686342710906295,,,2026-02-27 10:56:34
RandomForest,baseline,0.8917613658974074,0.3494267361899722,0.03319692282739409,0.4566447015354916,1.767978013484468,,,2026-02-27 10:56:34
DecisionTree,baseline,0.7866454433293064,0.46296353227524556,0.04389615713437138,0.6411183872864915,2.276648864146715,,,2026-02-27 10:56:34
Lasso,baseline,-5.384782678641287e-06,1.2233109313563457,0.12302568905171288,1.3879967224704215,2.863901536819034,,,2026-02-27 10:56:34
